"","x"
"AL",0.13055980969227
"AZ",0.11523705224679
"AR",0.139641619921247
"CA",0.113711540013293
"CO",0.112275323624825
"CT",0.0566877407985241
"DE",0.064278830162317
"DC",0.0694525488213861
"FL",0.114950009621196
"GA",0.123196340258334
"ID",0.119732334460559
"IL",0.120441446444265
"IN",0.114807475550535
"IA",0.129787386528163
"KS",0.119584004343297
"KY",0.119071640606823
"LA",0.134614150123084
"ME",0.0834967117800079
"MD",0.0715434227085324
"MA",0.0584703622470522
"MI",0.115061021405661
"MN",0.103573745924665
"MS",0.127077249091401
"MO",0.128052975719523
"MT",0.0996590871858802
"NE",0.130101372989046
"NV",0.106921629726056
"NH",0.0475103792171036
"NJ",0.0755901529256639
"NM",0.119080180255653
"NY",0.0802761953225936
"NC",0.136735307489091
"ND",0.0913458786538245
"OH",0.116388187793392
"OK",0.124868134270878
"OR",0.0979829403182521
"PA",0.108760806115795
"RI",0.0603660618130819
"SC",0.133159717471633
"SD",0.101991107798763
"TN",0.127491204668056
"TX",0.115234795736995
"UT",0.10023835284379
"VT",0.060166076887222
"VA",0.0995410370018342
"WA",0.097996049709986
"WV",0.107206892425825
"WI",0.111401153172141
"WY",0.100161610755639
"AK",0.0931057128594779
"HI",0.085330557571384
